B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,NDVI,NDWI,NDMI,class
0.294900,0.150100,0.277200,0.206400,0.427300,0.869000,1.076700,1.110200,1.135100,1.260900,0.686465,-0.600404,-0.011090,1.000000
0.294900,0.150100,0.277200,0.206400,0.427300,0.869000,1.076700,1.110200,1.135100,1.260900,0.686465,-0.600404,-0.011090,1.000000
0.251000,0.246400,0.388000,0.353900,0.658000,1.074800,1.203200,1.306100,1.309400,1.172400,0.573615,-0.541940,-0.001262,1.000000
0.251000,0.246400,0.388000,0.353900,0.658000,1.074800,1.203200,1.306100,1.309400,1.172400,0.573615,-0.541940,-0.001262,1.000000
0.272000,0.249700,0.401700,0.351900,0.635700,1.052500,1.194000,1.274700,1.271400,1.238600,0.567318,-0.520759,0.001296,1.000000
0.381400,0.226800,0.355200,0.316500,0.534100,1.082600,1.302800,1.437800,1.369000,1.403800,0.639172,-0.603793,0.024512,1.000000
0.381400,0.226800,0.355200,0.316500,0.534100,1.082600,1.302800,1.437800,1.369000,1.403800,0.639172,-0.603793,0.024512,1.000000
0.381400,0.226800,0.355200,0.316500,0.534100,1.082600,1.302800,1.437800,1.369000,1.403800,0.639172,-0.603793,0.024512,1.000000
0.409600,0.244400,0.351300,0.331000,0.557000,1.043300,1.264200,1.456800,1.332300,1.390000,0.629713,-0.611415,0.044638,1.000000
0.437800,0.266700,0.380800,0.369600,0.578700,1.018400,1.218300,1.333000,1.266100,1.378200,0.565841,-0.555607,0.025740,1.000000
0.525600,0.281100,0.435800,0.416100,0.801500,1.259600,1.470600,1.473900,1.546600,1.700600,0.559683,-0.543593,-0.024069,1.000000
0.486300,0.253600,0.350000,0.321800,0.711100,1.203900,1.464700,1.536100,1.572800,1.663300,0.653587,-0.628864,-0.011805,1.000000
0.445000,0.225400,0.372200,0.315900,0.515800,1.011900,1.180900,1.314000,1.217600,1.448300,0.612369,-0.558534,0.038079,1.000000
0.445000,0.225400,0.372200,0.315900,0.515800,1.011900,1.180900,1.314000,1.217600,1.448300,0.612369,-0.558534,0.038079,1.000000
